sample_matrix_group;sample_matrix;analysis_group;analysis_item_name_vi;analysis_item_name_en;public_group_code;Equipment_type;LOD;LOQ;TAT_Normal;TAT_Fast;TAT_Urgent; unit_price ; Analysis Group Whole group standard 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polycarbonat (PC) ;;Bisphenol A (phenol, tert butyl phenol) trong vật liệu;;QCVN 12-1: 2011/BYT;HPLC-PDA;;10 µg/g;72;;; 350.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polycarbonat (PC) ;;Các Amin (Triethylamine, Tributylamine) trong bao bì, dụng cụ tiếp xúc trực tiếp với thực phẩm;;QCVN 12-1: 2011/BYT;GC-MS/MS;;1mg/g;72;;; 490.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polymethyl Metacrylat (PMMA);;Methyl methacrylat thôi nhiễm trong Ethanol 20% từ trong bao bì, dụng cụ tiếp xúc trực tiếp với thực phẩm;;QCVN 12-1: 2011/BYT;GC-MS/MS;;1µg/ml;72;;; 350.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polystyren (PS);;các chất bay hơi (Styrene, Toluene, Ethylbenzene, Isopropylbenzebe, Propylbenzene) trong bao bì, dụng cụ tiếp xúc trực tiếp với thực phẩm;;QCVN 12-1: 2011/BYT;GC-MS/MS;;1µg/g;72;;; 350.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polystyren (PS);;Styrene;;QCVN 12-1: 2011/BYT;GC-MS/MS;;1mg/g;72;;; 350.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polystyren (PS);;Toluene;;QCVN 12-1: 2011/BYT;GC-MS/MS;;1mg/g;72;;; 350.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polystyren (PS);;Ethylbenzene;;QCVN 12-1: 2011/BYT;GC-MS/MS;;1mg/g;72;;; 350.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polystyren (PS);;Isopropylbenzene;;QCVN 12-1: 2011/BYT;GC-MS/MS;;1mg/g;72;;; 350.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polystyren (PS);;Propylbenzene;;QCVN 12-1: 2011/BYT;GC-MS/MS;;1mg/g;72;;; 350.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polyvinyl clorid (PVC);;Cresyl phosphate;;QCVN 12-1: 2011/BYT;HPLC-PDA;;0.3 µg/g;72;;; 350.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polyvinyl clorid (PVC);;Vinyl clorid trong bao bì, dụng cụ tiếp xúc trực tiếp với thực phẩm;;QCVN 12-1: 2011/BYT;GC-MS/MS;;1µg/g;72;;; 350.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polyvinyl clorid (PVC);;Dibutyl Thiếc trong bao bì, dụng cụ tiếp xúc trực tiếp với thực phẩm;;QCVN 12-1: 2011/BYT;GC-MS/MS;;1µg/g;72;;; 700.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa Polyvinylden Clorid (PVDC);;Vinyliden chloride trong bao bì, dụng cụ tiếp xúc trực tiếp với thực phẩm;;QCVN 12-1: 2011/BYT;GC-MS/MS;;1mg/g;72;;; 350.000 ; NA 
BAO BÌ;Bao bì, dụng cụ đun nấu (trừ gốm, thủy tinh) ;;Hàm lượng Chì (Pb);Lead (Pb) content;Quyết định số 46/2007/QĐ-BYT;ICP-MS;;0.1 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, dụng cụ đun nấu (trừ gốm, thủy tinh) ;;Hàm lượng Cadimi (Cd);Cadmium (Cd) content;Quyết định số 46/2007/QĐ-BYT;ICP-MS;;0.05 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, dụng cụ đun nấu (trừ gốm, thủy tinh) ;;Hàm lượng Asen (As);Arsenic (As) content;Quyết định số 46/2007/QĐ-BYT;ICP-MS;;0.05 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, dụng cụ đun nấu (trừ gốm, thủy tinh) ;;Hàm lượng Antimon (Sb);Antimon (Sb) content;Quyết định số 46/2007/QĐ-BYT;ICP-MS;;0.1 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, dụng cụ tiếp xúc trực tiếp với thực phẩm;;Vinyliden chloride ;;VLAB-CH-TP-632 (QCVN 12-1:2011/BYT);-;;;72;;; 350.000 ; NA 
BAO BÌ;Bao bì, dụng cụ tiếp xúc trực tiếp với thực phẩm;;Amin (triethylamin, tributylamin);;VLAB-CH-TP-633 (QCVN 12-1:2011/BYT);-;;;72;;; 350.000 ; NA 
BAO BÌ;Bao bì, dụng cụ tiếp xúc trực tiếp với thực phẩm;;Methyl methacrylate;;VLAB-CH-TP-634 (QCVN 12-1:2011/BYT);-;;;72;;; 350.000 ; NA 
BAO BÌ;Bao bì, dụng cụ tiếp xúc trực tiếp với thực phẩm;;Acid lactic tổng số;;VLAB-CH-TP-761;-;;;72;;; 350.000 ; NA 
BAO BÌ;Bao bì, vật liệu nhựa tiếp xúc thực phẩm;;Hàm lượng Chì (Pb);Lead (Pb) content;QCVN 12-1: 2011/BYT;ICP-MS;;0,25 mg/kg;120;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu nhựa tiếp xúc thực phẩm;;Hàm lượng Cadimi (Cd);Cadmium (Cd) content;QCVN 12-1: 2011/BYT;ICP-MS;;0,25 mg/kg;120;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu vật dụng bằng gốm, gốm thủy tinh tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Chì (Pb) thôi nhiễm (Chiết trong acid acetic 4%);Migrated Lead (Pb) content (Leaching solution: 4% Acetic acid);"QCVN 12-4: 2015/BYT 
TCVN 7146-1:2002 ";ICP-MS;;"Lòng sâu: 0,005 mg/L
Lòng nông phẳng: 0,0005 mg/dm2 ";72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu vật dụng bằng gốm, gốm thủy tinh tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Cadimi (Cd) thôi nhiễm (Chiết trong acid acetic 4%);Migrated Cadmium (Cd) content (Leaching solution: 4% Acetic acid);"QCVN 12-4: 2015/BYT 
TCVN 7146-1:2002 ";ICP-MS;;"Lòng sâu: 0,0025 mg/L
Lòng nông phẳng: 0,00025 mg/dm2 ";72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu vật dụng bằng kim loại tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Chì (Pb) thôi nhiễm (Chiết trong acid acetic 0,5%);Migrated Lead (Pb) content (Leaching solution: 0,5% Acetic acid);QCVN 12-3: 2011/BYT ;ICP-MS;;0,005 mg/L;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu vật dụng bằng kim loại tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Cadimi (Cd) thôi nhiễm (Chiết trong acid acetic 0,5%);Migrated Cadmium (Cd) content (Leaching solution: 0,5% Acetic acid);QCVN 12-3: 2011/BYT ;ICP-MS;;0,0025 mg/L;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu vật dụng bằng kim loại tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Asen (As) thôi nhiễm (Chiết trong acid acetic 0,5%);Migrated  Arsenic (As) content (Leaching solution: 0,5% Acetic acid);QCVN 12-3: 2011/BYT ;ICP-MS;;0,0025 mg/L;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu vật dụng bằng kim loại tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Chì (Pb) thôi nhiễm (Chiết trong nước);Migrated Lead (Pb) content (Leaching solution: water);QCVN 12-3: 2011/BYT ;ICP-MS;;0,005 mg/L;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu vật dụng bằng kim loại tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Cadimi (Cd) thôi nhiễm (Chiết trong nước);Migrated Cadmium (Cd) content (Leaching solution: water);QCVN 12-3: 2011/BYT;ICP-MS;;0,0025 mg/L;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu vật dụng bằng kim loại tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Asen (As) thôi nhiễm (Chiết trong nước);Migrated  Arsenic (As) content (Leaching solution: water);QCVN 12-3: 2011/BYT ;ICP-MS;;0,0025 mg/L;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu vật dụng bằng thuỷ tinh tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Chì (Pb) thôi nhiễm (Chiết trong acid acetic 4%);Migrated Lead (Pb) content (Leaching solution: 4% Acetic acid);"QCVN 12-4: 2015/BYT 
TCVN 7147-1: 2002";ICP-MS;;0,005 mg/L;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu vật dụng bằng thuỷ tinh tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Cadimi (Cd) thôi nhiễm (Chiết trong acid acetic 4%);Migrated Cadmium (Cd) content (Leaching solution: 4% Acetic acid);"QCVN 12-4: 2015/BYT 
TCVN 7147-1: 2002 ";ICP-MS;;0,0025 mg/L;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu vật dụng tráng men thuỷ tinh, men sứ tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Chì (Pb) thôi nhiễm (Chiết trong acid acetic 4%);Migrated Lead (Pb) content (Leaching solution: 4% Acetic acid);"QCVN 12-4: 2015/BYT 
TCVN 7542-1: 2005";ICP-MS;;"Lòng sâu: 0,005 mg/L
Lòng nông phẳng: 0,0005 mg/dm2 ";72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu vật dụng tráng men thuỷ tinh, men sứ tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Cadimi (Cd) thôi nhiễm (Chiết trong acid acetic 4%);Migrated Cadmium (Cd) content (Leaching solution: 4% Acetic acid);"QCVN 12-4: 2015/BYT 
TCVN 7542-1: 2005";ICP-MS;;"Lòng sâu: 0,0025 mg/L
Lòng nông phẳng: 0,00025 mg/dm2 ";72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu, vật dụng bằng cao su tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Chì (Pb);Lead (Pb) content;QCVN 12-2: 2011/BYT;ICP-MS;;0.25 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu, vật dụng bằng cao su tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Cadimi (Cd);Cadmium (Cd) content;QCVN 12-2: 2011/BYT;ICP-MS;;0.25 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu, vật dụng bằng nhựa tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Chì (Pb);Lead (Pb) content;QCVN 12-1: 2011/BYT;ICP-MS;;0.25 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì, vật liệu, vật dụng bằng nhựa tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Cadimi (Cd);Cadmium (Cd) content;QCVN 12-1: 2011/BYT;ICP-MS;;0.25 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bề mặt bao bì thực phẩm và các loại bao bì khác;;Phát hiện virus SARS COV-2;;VLAB-MI-TP-041; Realtime RT-PCR;/sample;;72;;; 700.000 ;NA
BAO BÌ;Mỹ phẩm;;Hàm lượng Chì (Pb);Lead (Pb) content;TCVN 10088:2013;ICP-MS;;0.01 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Mỹ phẩm;;Hàm lượng Cadimi (Cd);Cadmium (Cd) content;TCVN 10088:2013;ICP-MS;;0.01 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Mỹ phẩm;;Hàm lượng Thủy ngân (Hg);Mercury (Hg) content;TCVN 10088:2013;ICP-MS;;0.01 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Mỹ phẩm;;Hàm lượng Crom (Cr);Chromium (Cr) content;TCVN 10088:2013;ICP-MS;;0.01 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Mỹ phẩm;METAL/ICP-MS;Hàm lượng Niken (Ni);Nickel (Ni) content;VLAB-CH-TP-042;ICP-MS;;0.002 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Mỹ phẩm;METAL/ICP-MS;Hàm lượng Coban (Co);Cobalt (Co) content;VLAB-CH-TP-042;ICP-MS;;0,002 mg/kg;72;;; 140.000 ; NA 
